split,case_id,z,has_tumor,image_path,mask_path,original_image_path,original_mask_path
train,lung_015,2,0,../preprocessed_npy/train/lung_015/images/z0002.npy,../preprocessed_npy/train/lung_015/masks/z0002.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,18,0,../preprocessed_npy/train/lung_015/images/z0018.npy,../preprocessed_npy/train/lung_015/masks/z0018.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,53,0,../preprocessed_npy/train/lung_015/images/z0053.npy,../preprocessed_npy/train/lung_015/masks/z0053.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,68,0,../preprocessed_npy/train/lung_015/images/z0068.npy,../preprocessed_npy/train/lung_015/masks/z0068.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,79,0,../preprocessed_npy/train/lung_015/images/z0079.npy,../preprocessed_npy/train/lung_015/masks/z0079.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,81,0,../preprocessed_npy/train/lung_015/images/z0081.npy,../preprocessed_npy/train/lung_015/masks/z0081.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,105,0,../preprocessed_npy/train/lung_015/images/z0105.npy,../preprocessed_npy/train/lung_015/masks/z0105.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,149,1,../preprocessed_npy/train/lung_015/images/z0149.npy,../preprocessed_npy/train/lung_015/masks/z0149.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,150,1,../preprocessed_npy/train/lung_015/images/z0150.npy,../preprocessed_npy/train/lung_015/masks/z0150.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,151,1,../preprocessed_npy/train/lung_015/images/z0151.npy,../preprocessed_npy/train/lung_015/masks/z0151.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,152,1,../preprocessed_npy/train/lung_015/images/z0152.npy,../preprocessed_npy/train/lung_015/masks/z0152.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,153,1,../preprocessed_npy/train/lung_015/images/z0153.npy,../preprocessed_npy/train/lung_015/masks/z0153.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,154,1,../preprocessed_npy/train/lung_015/images/z0154.npy,../preprocessed_npy/train/lung_015/masks/z0154.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,155,1,../preprocessed_npy/train/lung_015/images/z0155.npy,../preprocessed_npy/train/lung_015/masks/z0155.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,156,1,../preprocessed_npy/train/lung_015/images/z0156.npy,../preprocessed_npy/train/lung_015/masks/z0156.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,157,1,../preprocessed_npy/train/lung_015/images/z0157.npy,../preprocessed_npy/train/lung_015/masks/z0157.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,158,1,../preprocessed_npy/train/lung_015/images/z0158.npy,../preprocessed_npy/train/lung_015/masks/z0158.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,159,1,../preprocessed_npy/train/lung_015/images/z0159.npy,../preprocessed_npy/train/lung_015/masks/z0159.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,200,0,../preprocessed_npy/train/lung_015/images/z0200.npy,../preprocessed_npy/train/lung_015/masks/z0200.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,212,0,../preprocessed_npy/train/lung_015/images/z0212.npy,../preprocessed_npy/train/lung_015/masks/z0212.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,237,0,../preprocessed_npy/train/lung_015/images/z0237.npy,../preprocessed_npy/train/lung_015/masks/z0237.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_015,276,0,../preprocessed_npy/train/lung_015/images/z0276.npy,../preprocessed_npy/train/lung_015/masks/z0276.npy,../imagesTr/lung_015.nii.gz,../labelsTr/lung_015.nii.gz
train,lung_092,15,0,../preprocessed_npy/train/lung_092/images/z0015.npy,../preprocessed_npy/train/lung_092/masks/z0015.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,43,0,../preprocessed_npy/train/lung_092/images/z0043.npy,../preprocessed_npy/train/lung_092/masks/z0043.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,76,0,../preprocessed_npy/train/lung_092/images/z0076.npy,../preprocessed_npy/train/lung_092/masks/z0076.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,81,0,../preprocessed_npy/train/lung_092/images/z0081.npy,../preprocessed_npy/train/lung_092/masks/z0081.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,93,0,../preprocessed_npy/train/lung_092/images/z0093.npy,../preprocessed_npy/train/lung_092/masks/z0093.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,106,1,../preprocessed_npy/train/lung_092/images/z0106.npy,../preprocessed_npy/train/lung_092/masks/z0106.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,107,1,../preprocessed_npy/train/lung_092/images/z0107.npy,../preprocessed_npy/train/lung_092/masks/z0107.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,108,1,../preprocessed_npy/train/lung_092/images/z0108.npy,../preprocessed_npy/train/lung_092/masks/z0108.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,109,1,../preprocessed_npy/train/lung_092/images/z0109.npy,../preprocessed_npy/train/lung_092/masks/z0109.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,110,1,../preprocessed_npy/train/lung_092/images/z0110.npy,../preprocessed_npy/train/lung_092/masks/z0110.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,111,1,../preprocessed_npy/train/lung_092/images/z0111.npy,../preprocessed_npy/train/lung_092/masks/z0111.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,112,1,../preprocessed_npy/train/lung_092/images/z0112.npy,../preprocessed_npy/train/lung_092/masks/z0112.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,113,1,../preprocessed_npy/train/lung_092/images/z0113.npy,../preprocessed_npy/train/lung_092/masks/z0113.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,114,1,../preprocessed_npy/train/lung_092/images/z0114.npy,../preprocessed_npy/train/lung_092/masks/z0114.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,115,1,../preprocessed_npy/train/lung_092/images/z0115.npy,../preprocessed_npy/train/lung_092/masks/z0115.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,116,1,../preprocessed_npy/train/lung_092/images/z0116.npy,../preprocessed_npy/train/lung_092/masks/z0116.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,117,1,../preprocessed_npy/train/lung_092/images/z0117.npy,../preprocessed_npy/train/lung_092/masks/z0117.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,118,1,../preprocessed_npy/train/lung_092/images/z0118.npy,../preprocessed_npy/train/lung_092/masks/z0118.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,119,1,../preprocessed_npy/train/lung_092/images/z0119.npy,../preprocessed_npy/train/lung_092/masks/z0119.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,120,1,../preprocessed_npy/train/lung_092/images/z0120.npy,../preprocessed_npy/train/lung_092/masks/z0120.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,125,0,../preprocessed_npy/train/lung_092/images/z0125.npy,../preprocessed_npy/train/lung_092/masks/z0125.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
train,lung_092,131,0,../preprocessed_npy/train/lung_092/images/z0131.npy,../preprocessed_npy/train/lung_092/masks/z0131.npy,../imagesTr/lung_092.nii.gz,../labelsTr/lung_092.nii.gz
